song,genre
101,Save the last dance for me (The Drifters).mp3,2
102,Thunder.mp3,2
103,I heard it through the grapevine(Marvin Gaye).mp3,2
104,If You Need Me (Solomon Burke).mp3,2
105,Respect(Aretha Franklin).mp3,2
106,I'm just a gigolo ( Louis Armstrong).mp3,2
107,For once in my live(Stevie Wonder).mp3,2
108,Knock On wood (Otis Redding).mp3,2
109,Needle In A Haystack (The Velvelettes).mp3,2
110,It Takes Two (Kim Weston & Marvin Gaye).mp3,2
111,Stand by me (B.E.King).mp3,2
112,Thats how strong my love is(Otis Redding).mp3,2
113,Jingle Bell Rock.mp3,2
114,If you don't know me by now (Harold Melvin & the Blue Notes).mp3,2
115,Georgia (Ray Charles)).mp3,2
116,My cherie amour(Stevie Wonder).mp3,2
117,Please Mr. Postman (The Marvelettes).mp3,2
118,You can't hurry love(Diana Ross & The Supremes).mp3,2
119,What A Wonderful World This Would Be 1960 (Sam Cooke).mp3,2
